law,# should in embedd,# may in embedd,# should not in embedd,# may not in embedd,# should in gpt,# may in gpt,# should not in gpt,# may not in gpt
PL104_208,64,1437,0,0,63,1434,0,0
PL105_310,1,16,0,0,1,16,0,0
PL106_102,12,249,0,0,12,249,0,0
PL107_056,26,205,0,0,26,205,0,0
PL107_204,12,115,0,0,12,114,0,0
PL108_100,1,30,0,0,1,30,0,0
PL108_159,5,73,0,0,5,72,0,0
PL109_171,1,25,0,0,1,25,0,0
PL109_173,0,16,0,0,0,16,0,0
PL109_351,1,73,0,0,1,73,0,0
PL110_289,7,439,0,0,7,437,0,0
PL110_343,4,142,0,0,4,142,0,0
PL111_022,10,205,0,0,10,133,0,0
PL111_203,63,1480,0,0,63,1478,0,0
PL115_174,4,87,0,0,8,174,0,0
PL116_283,150,1369,0,0,149,1366,0,0
